Yazar,Tarih,Baslik,Sikayet,Kaynak
calendil,04.04.2005 13:36,IKEA Genel,"maliyetleri düşürmek için montaj işini bütünüyle müşteriye bırakan firma. ancak keyfine düşkün türk tüketicisinin böyle bir tuzaktan kurtulmak için kendisine çıkış yolu bulması engellenemeyecektir.

türkiye'de açılması ile birlikte ""ikea montajcısı"" diye bir iş kolunun türeyeceği tahmin edilmektedir. sağda solda marangozların, nalburların ve hatta bakkal ve diğer esnafın kapı ve pencerelerinde ""5 ytl'ye ikea montajı yapılır"" şeklinde tabelalar görmemiz an meselesidir.",Ekşi Sözlük
tdk,07.04.2005 16:00,IKEA Genel,"heyecanla beklenen, fiyatlarinin ve koleksiyonlarinin yurtdisi ile ayni oldugu siddetle umulan mobilya ve sair cer cop dukkani.",Ekşi Sözlük
gezz,07.04.2005 16:03,IKEA Genel,bu sabah ilk kez radyoda reklamını duyduğum firma. katalog dağıtımına başlamışlar. yabadabadu,Ekşi Sözlük
magdalena,10.04.2005 23:05,IKEA Genel,"apartmanlara katalog bırakmaya başladılar. fiyatlar uygun görünüyor. çok daha az kullanışlı ve az estetik mobilyalara milyarlar vermektense buradan alıp montajını da kendi kendine keyifle yapmak çok daha akıl karı. sadece mobilya değil, tencere, yorgan, oyuncak gibi daha bir çok ürün var. ayrıca mağazada yemek de yenebilecekmiş ki yemekleri de şahane imiş duyduğum kadarıyla.",Ekşi Sözlük
deepher,10.04.2005 23:08,IKEA Genel,reklamlarını türkiye'de wunderman'ın yaptığı firma.,Ekşi Sözlük
spud,10.04.2005 23:15,IKEA Genel,"5 mayıs 2005 perşembe günü saat 10 da ümraniye tem otoyolu şile çıkışında açılışı yapılacak isveç kökenli mobilya ve ev aksesuarları mağazası..

bugün itibariyle apartman katalog dağıtıma başlamışlar, açtım baktım kaliteli ve uygun görünüyor..hadi hayırlısı",Ekşi Sözlük
frot,11.04.2005 00:39,IKEA Genel,"yeni alinan evi ucuz ve mukemmel yapmak icin 1 ay beklenen mobilyaci..

abd de ve diger ulkelerde pazar gunleri gordugu ilgiyi umraniyede gorebilecek mi gorecegiz..",Ekşi Sözlük
carlos,13.04.2005 19:13,IKEA Genel,"5 mayis 2005'de istanbul'da açildigi günden itibaren memleket evlerinde ""ne beceriksiz adamsin sen "" monologlarina davetiye çikartan; ne lan bu? yok mu bunun kurulmusu dedirten sirket..",Ekşi Sözlük
ikarus,13.04.2005 19:42,IKEA Genel,katalogunu inceleyinde bu fiyatlar da ne böyle dedirtecek kadar ucuz olan magaza,Ekşi Sözlük
guru,15.04.2005 01:39,IKEA Genel,"herseyden ote, nefis bir citir kurabiye satiyorlar ne zaman gitsem almadan duramiyorum.. enfes.",Ekşi Sözlük
anshar,15.04.2005 02:04 ~ 02:13,IKEA Genel,"gavur ellerinde bas parayi al karayi zihniyetiyle calisan sirket. parasini pesin odemeden insana zirnik koklatmaz. hele taksit olayina hic yanasmaz. lakin turkiye subesine "" demirine gore su vermek gerek"" dusuncesiyle mi yaklasiyor bilinmez. bilindigi gibi, bize esyayi alip eskitmeden parasini odemek ters duser. ( hani ben hatirliyorum da bizim koltuklarin hirtlambazi cikmisti, halen taksitleri bitmemisti.)",Ekşi Sözlük
dubliners,15.04.2005 02:08 ~ 03:25,IKEA Genel,"en az 10 yil boyunca rengi solmayan, kalitesi bozulmayan nevresimleri var bu magazanin. bi de lokantasinda leziz isveç köfteleri.",Ekşi Sözlük
mocha,15.04.2005 10:57,IKEA Genel,"açilis yapilacagi 5 mayis tarihine kadar istanbulda katalog dagitmadiklari ev kalmayacagini duyuran firma. çok akillica bir is yapiyorlar zira katalog elinize geldiginde gerçekten çildiracak gibi oluyorsunuz, kullanim kolayliklari düsünülmüs mobilyalar gerçekten ucuz.

mobilyalarin demonte halde satilacak olmasina ragmen ülkemizde ragbet görecegini (yatas ve istikbal gibi tutkalsiz mobilya dedigimiz mamuller üreten magazalarin yüksek satislarindan yola çikarak böyle bir yargiya variyorum) ve ümraniye magazasindan sonra çok kisa zamanda magazalar zincirini kuracaklarini düsünüyorum.
insanlarimiz ucuz olduktan sonra dayaniklilik kosulunu pek aramayacak, yeni evlenecekler bayram edecekler, orta halli aileler ""nasilsa ucuz, olmazsa iki sene sonra bunlari atar yenilerini aliriz, ev de yenilenmis olur"" diye sevinecekler ve magazalara akin edecekler.
alim islemi akabinde montaj meselesi insanimizi zorlayacak, mahalle aralarindaki ufak mobilyaci amcalarin isleri açilacaktir. er kisilerimiz sözkonusu magazadan alis-veris yaptiktan sonra ezik bireyler olacaklardir.
son olarak aksesuarlara deginmek istiyorum. satisa sunulacak aksesuarlar montaja ihtiyaci olmayan ufak tefek nesneler rengarenk ve çok sik gözüküyorlar.
5 mayisi bekleyiniz..",Ekşi Sözlük
ama arkadaslar iyidir,15.04.2005 11:26 ~ 11:32,IKEA Genel,"türkiye'deki algilanisinin starbucks'dan farkli olmayacagi tahmin edilen hazir mobilya markasi. bilindigi gibi, gavuristanda isçi sinifinin ise giderken ugrayip hos bes ettigi starbucks restoranlari ülkemizde tikky siginagi muamelesi görmüs ve gavuristan'dan türkiye'ye gelen esi dostu sasirtmistir. acaba yurt disinda ayni konumda olan ikea'nin pazarlama stratejisinde bu algiyi yok edecek enstrümanlar var midir ya da böyle bir algilanis islerine gelecek midir, bunlar merak edilen hususlardir. ayrica ikea, yine gavur ellerde çok çok yaratici reklamlariyla bilinir, türkiye'de niye televizyon reklamini tercih etmemistir bu da ayri bir merak konusudur.",Ekşi Sözlük
jurnalci,18.04.2005 10:49 ~ 10:50,IKEA Genel,"istanbul çapinda dagitilan ve basilan kataloguyla hitler'in kavgam kitabinin dagitim rekorunu rahatlikla geçen, ""açilsa da eve mobilya montajina baslasak"" dedirten magaza.",Ekşi Sözlük
ozzyy mclaren,18.04.2005 10:50,IKEA Genel,http://www.ikea.com.tr/catalogue/turkish/ adresinden kataloga bakilabilir.,Ekşi Sözlük
ekinella,18.04.2005 10:54 ~ 15:08,IKEA Genel,"bir rivayete göre, çiftlerin evlilik tarihlerini ertelemelerine sebep olan magaza. evlilik olayinin ne kadar masrafli oldugunun bilincinde olan insanlarin hakli seçimi. 'her kapiya bir katalog' olayindan nasiplenerek gördüm ki, türkiyedeki en özel ve modern tasarimlari en ucuza satan yer olacak. birde ayiptir söylemesi yurt disinda alisveris yaptigim ikea ile ayni fiyatl etiketlerine sahip tüm ürünler. haydi hayirlisi.",Ekşi Sözlük
sabahmavisi,18.04.2005 11:14 ~ 11:15,IKEA Genel,"halkin arabalarina atlayip giderek yangindan mal kacirir gibi alisveris edip mobilya parcalarini ve illede kocaman saksilari cicekleri arabalarina acele acele yukleyerek göturdukleri isvec'in meshur mobilya devi..
isvec'e ilk geldigim gun kostura kostura alisveris yapanlari görunce icerde yangin ciktigini dusunmustum..",Ekşi Sözlük
melissaki,19.04.2005 10:30,IKEA Genel,"""eskimis coraplarinizi atin! atamiyorsaniz paspas yapin"" sloganiyla türkiye'de bir dönemin tüketici aliskanliklarinin degisiminde kilometre tasi teskil etmis jill çoraplarinin mesajinin mobilya sektöründeki muadili. reklamlarinda insanlari degistirmenin kolayligina, gerekliligine ikna etmeye calisir. mesela bir reklaminda kapinin önüne atilmis boynu bükük bir masa lambasinin hikayesini anlatir son derece iç parcalayici bir müzik esliginde. aski masa lambasi, atilmis oldugu evin camina bakar yagan yagmurun altinda ve bir çöp kutusunun yaninda. o sirada eski sahibi yeni aldigi masa lambasini yakar, içeri yumusak bir isik dolar. hepimiz neredeyse aglamak üzereyken ekrana bir adam cikar ve herkese bagirmaya baslar ""salak misiniz be siz. bir masa lambasi için bu kadar tantana koparilir mi? bir masa lambasinin anisi mi olur? gidin siz de ikeadan yenisini alin!"" der. gerçekten de fiyatlari ve tasarimlariyla sürekli degismeye, yenilenmeye aday bir üründür ikea. esyalariyla gönül bagi kuranlara göre degildir belki de bu yüzden.

tasarimlari günlük hayata pratik çözümler getirmek üzere olusturulmustur. elimizi attigimiz havlunun askisindan, çocugumuzun sandikli masasina kadar genistir ürün yelpazesi. evet kapisina kamyon dayanilasi bir magazadir.",Ekşi Sözlük
frog from space,20.04.2005 12:11,IKEA Genel,"havlu tarzindaki ürünleri özdilek, cam malzemeleri pasabahçe tarafindan imal edilen magazalar zinciri. yurt disinda alisveris yaparken, bir çok ürünün içinde made in turkey yazisini görüp sasirmaniza, daha sonra acaba ne zaman türkiye'ye gelecek diye kendi kendinize sormaniza vesile olmus kurulustur. bekleyis içindeki kimselere, 5 mayis açilisi hele sükür dedirtirken, çikacak izdiham dolayisiyla 'ne zaman gitsek acaba?' diye insani düsündüren magazadir. isin ciddiyetini farkina varamamislar için; (bkz: canini seven kaçsin)",Ekşi Sözlük
the queerest of the queer,20.04.2005 14:56,IKEA Genel,"adini yillardir ""aykiya"" diye telaffuz ettikten sonra radyoda ""ikeya"" diyen bi adam sesi duydugumda oha dememi saglamis olan marka. biz mi yanlis biliyoduk acep?",Ekşi Sözlük
starrider,20.04.2005 15:07,IKEA Genel,"ingilterede ""aykia"" iken orjinal isvecde turkiyede de oldugu gibi ""ikea"" diye okunan magazalar zinciri.",Ekşi Sözlük
spaztica,20.04.2005 15:11,IKEA Genel,"www.ikea.com.tr'yi açilis öncesi yayina sokan uluslararasi pratik mobilya sirketi. web sitelerinde katalogu online taranmis halde incelenebilir olmasi, olusan katalog izdihamini önlemek için olsa gerek. ikea gibi modern bir sirketin daha çagdas bir online katalog gösterme yöntemi olabilirdi oysa ki.",Ekşi Sözlük
link,24.04.2005 23:55 ~ 23:57,IKEA Genel,"almanya'daki bircok magazasinda, anne ve babalar alisveris yaparken, cocuklarin oyalanmasi icin fame city'deki define adasina benzer oyun bölümü bulunuyor.",Ekşi Sözlük
trawmatolog,25.04.2005 23:07,IKEA Genel,ulkemizde tv reklamlarini gag gibi programlara gebe kalmadan gormek istedigim nadir markalardan biri.,Ekşi Sözlük
vanguard,26.04.2005 15:17,IKEA Genel,sayesinde isveç köftesi yiyebilecegimiz mobilyaci.,Ekşi Sözlük
milagros,27.04.2005 16:01,IKEA Genel,"ikea urunlerinin kalitesini,dayanikliligini bilemem ama saglik acisindan zararli madde icermedigini soylemek mumkun. adamlar kullandiklari koltuk kumaslarinin icerigini tek tek analiz edip eger insan sagligina zararli maddeler iceriyorsa direkt o ureticiden tedarigi durduruyorlar ya da binbir turlu test+rapor vs. istiyorlar.zaten sektorde titiz calismasiyla taniniyor. umarim turkiyedeki mobilya sektoru de en kisa zamanda bu hassasiyete ulasir.",Ekşi Sözlük
petek dokulu ust yuzey,27.04.2005 16:03,IKEA Genel,(bkz: ikea köftecisi),Ekşi Sözlük
modu,27.04.2005 16:06,IKEA Genel,turkiyedeki ilk magazasinin acilis tarihi 05.05.05 olarak kayitlara gececek yapi market. nikah tarihi 9.9.99 olan birisinin gozunden kacmayan ayrinti.,Ekşi Sözlük
ekinella,27.04.2005 16:10,IKEA Genel,"kapiya birakilan katalog ile yatip kalktigim, açilacagi günü heyecandan yerimde ziplayarak geçirdigim, hayalimdeki mekani hayallerimdeki esyalarla süslememe yardimci olacak magaza.*",Ekşi Sözlük
burgerqueen,28.04.2005 18:29,IKEA Genel,"amerika'da yaşayan arkadaşlarımın ev dekorasyonlarında sık sık başvurdukları mağazadır. bir hafta içerisinde türk insanı da ikea'ya kavuşacaktır. ancak gözlemlediğim kadarıyla fiyatına doğru orantılı olarak ürünler çok da kaliteli diil. bir aile evi döşenmez ama hayallerdeki öğrenci ya da genç çift evi vs deliler gibi döşenir. bana sorarsanız çok güzel, anneme sorarsanız katalogtan çok güzel gözüküyo. ama kurulduktan soora annem aynı tepkiyi vermeyecek bence. umarım yanılırım.",Ekşi Sözlük
castro,30.04.2005 07:21,IKEA Genel,"ayrıca açılışı olan 05/05/05 tarihi, aynı zamanda tel maşa mobilyalar üreten, kazıkçı türk markalarının cenaze töreni tarihidir.
(bkz: ruhuna el fatiha)",Ekşi Sözlük
castro,30.04.2005 07:25,IKEA Genel,(bkz: ben jack in oturma grubuyum),Ekşi Sözlük
castro,30.04.2005 07:40,IKEA Genel,"""evladiyelik"" tanımı kullanılamasa da, rakibi olarak kabul edilebilecek diğer markalar ile kıyaslanınca kalite olarak altta kalmayan, fiyat olaraksa dipte olan ""oyuncaklar""ın üreticisi.",Ekşi Sözlük
sscrocus,30.04.2005 08:00 ~ 08:03,IKEA Genel,"bu yaz alisveris yapma firsati buldugum marka..inanilmaz guzel seyler var, alirken cok eglenceli ama sonrasi pek o kadar guzel degil..oncelikle begendiginiz herseyin alisveris kodunu bir kagida yaziyorsunuz (kucuk parcalar haric), sonra onlari gidip magazanin baska bir yerindeki depodan kendiniz aliyorsunuz..paketler genelde cok agir, cunku hersey kucuk parcalar halinde paketlenmis..daha sonra bunlari eve de kendiniz tasidiktan sonra bir de kurmasiyla ugrasiyorsunuz..aslindan monte etmek hic zor degil, teker teker aciklanmis semalarla, ama cok zaman aliyor..butun bir evi ikea'dan aldiklarinizla tek basiniza kurmaya calisirsaniz gunun sonunda ellerinizi hisedemez hale geliyorsunuz..gunlerce suruyo butun mobilyalari teker teker yapmak..ama sanirim extra ucret karsiliginda ikea gorevlileri eve gelip kurma islemini sizin icin yapiyor..ama bir de bu ucreti odeyince ucuza aldiginiz mobilyalarin bir anlami kalmiyor..monte ederken cok dikat etmek gerekiyor, cunku parcalar hemen kirilabiliyor..ben odamdaki butun esyalari ve salondaki masa ile sandalyeleri tek basima monte etmistim..simdi uzun bir sure tasinmayi dusunmuyorum.gorundugu kadar zevkli bir is degil..cok esyaniz varsa insanin sinirleri mahvoluyor ama sonunda deyiyor...cunku gercekten cok zevkli mobilyalar var..",Ekşi Sözlük
mavi,30.04.2005 08:21,IKEA Genel,"ülkemize gelmesiyle bir dünya devine daha kavuşmanın keyfini yaşayacağımız, bir sektörümüzün daha elden gideceği ve yabancılara para akıtacak yeni bir yol bulacağımız marka.",Ekşi Sözlük
castro,30.04.2005 11:45,IKEA Genel,"türkiye'ye gelmesi ile bize bir sektörü daha kaybettirmeyecek olan firma. şöyle ki; ikea'nın üretiminin ciddi bir kısmı, zaten türkiye'de, türk markaları tarafından yapılıyor. mesela linens ve paşabahçe, ikea'ya üretim yapan firmalardan ikisi. hatta, ortadoğu'da pazarlanan ürünlerin %80'i türkiye'de üretiliyor.",Ekşi Sözlük
castro,30.04.2005 22:20,IKEA Genel,"binlerce çeşit arasında kendimi kaybettiğim mağaza. aydınlatma grupları bankalar caddesi'nden, mobilyalar modoko'dan, bardak vs. paşabahçe'nin (ki üreticisi paşabahçe) toptancısından ucuz. tasarımlar harika. kalite desen vasatın üstü. personel -genelde- genç ve bilgili. şundan eminim ki; ikea, türkiye'de evlenmek üzre olan her gencin işini kolaylaştıracak. dip not olarak; kredi kartlarına uygun vade farkları ile (12 aylık vade farkı %15'e tekabül ediyor) vade de yapıyorlar.",Ekşi Sözlük
seessa,06.05.2005 13:34,IKEA Genel,"istikbal, kelebek gibi markalardan cok daha ucuz urunleri bulunan, mukemmel otesi bir gelisim. ikea dururken ben sahsen baska bir yerden cop bile almam. keske istikbal boyle yapsa da ordan alsak ama maalesef..",Ekşi Sözlük
tictactoe,06.05.2005 13:58,IKEA Genel,"mobilya mağazasının zara, mango versiyonu",Ekşi Sözlük
horacegoesskiing,06.05.2005 14:07 ~ 14:09,IKEA Genel,"avrupa modellere bakıp benzerini yapan çağlayan mobilyacıları, kendi tasarımını yapan, ağacına kaplamasına kadar da kendi üreten türk hotkütür mobilyacıları varken bu amcaların işi var. aklını seven gitmez. yanlış yere dükkan açmış gariplerim. yazık.

aynı mcdonalds gibi bi durum yaşayabilir bi süre. bilirsiniz normalde ""ucuz sağlıksız yemek yiycek yer"" olan mcdonalds da ilk geldiğinde hacı abdullahtan pahalı fiyatlarıyla epey talep görmüştü. ha hala biraz talep var ama iddia ediyorum ki ikea patlayacaktır. patlasın da zaten.

niye diyeceksiniz, adı ucuz, kendisi pahalı.
ucuz alacak adamımız, pahalı birşey almaz.
pahalı birşey alacak kalantorumuz, adı ucuz olan birşeyi almaz. o yüzden yani.",Ekşi Sözlük
alpha centauri,06.05.2005 14:16,IKEA Genel,ikea nin felsesi baskalarinin orijinal tasarimlarini kopyalayip cok daha ucuza uretmek uzerine kuruludur. avrupa televizyonlarinda yayinlanan kendi reklamlarinda bile bu temayi islerler.,Ekşi Sözlük
porcelain,06.05.2005 14:25,IKEA Genel,amerika'da ev dosemenin en ucuz yoludur ikea,Ekşi Sözlük
pilachka,06.05.2005 15:30,IKEA Genel,"halkla ilişkiler'in suyunu çıkarmış, ulusal gazetelere birinci sayfadan haber olmayı başarabilmiş alt tarafı mobilyacı.",Ekşi Sözlük
heinrich,06.05.2005 21:10,IKEA Genel,"en büyük özelliği ""fonksiyonel,şık ve ucuz""* mobilya ve çeşitli ev eşyaları üreten isveç orijinli şirket. yerli üreticilerin sonunun başlangıcı olmuştur ikea'nın türkiyeye gelmesi. artık ağdalı mobilyalarını, abuk sabuk çek-yatlarını ne yaparlar bilemiyorum. artık 2500 ytl'ye mutfak devri kapandı. mobilyanın kalitesi ağacından belli olur, doğrudur. ikea kaliteli ve sağlam ağaç kullanmamaktadır, bu da doğrudur. fakat öteyandan eline balyozu, two handed swordugeçirip kitaplığına dalan birisi de yoktur.

05.05.05 tarihi, zannedersem müşteriye saygı ve sevgi açısından bir milat olacaktır*. müşteri memnuyeti açısından biraz aşmışlar. mağazanın kapısından girip, otoparktan çıkana kadar gösterilen saygı ve muameleyi diğer hiçbir mağaza ve alışveriş merkezinde görmemiştim. herşey düşünülmüş tanımı, bu arkadaşlara cuk oturuyo.

sonuç olarak, herkes salak bir biz akıllıyız!",Ekşi Sözlük
beatific,08.05.2005 23:36,IKEA Genel,"epey geç kalmış bir ""evini seven gelsin"" çağrısı. evini seven sevmiş, döşeyen döşemiştir. ikea'dan alınabilecek tek eksik onlu pakette parmak kuklası kalmıştır.",Ekşi Sözlük
prencesa,09.05.2005 22:59 ~ 23:00,IKEA Genel,"en azindan turkiyeyi isgal etmeyi beceremeyeceklerini umdugum magaza...
uzun aramalardan sonra nihayetinde pekcok sebepten dolayi hiiic istenmedigi halde (bkz: bir diger entry) ikeadan bi mobilya parcasi alinir, eve gelinir, kutu acilir... kutunun icinden bes on parca uzun kesilmis tahta parcasi ""odun"" cikar... bi de bitakim vidalar... tahtalarin basinda duran iki kisi birbirine bakip durur.. sonra tornavida kirildigi icin salonun ortasinda durur odunlar, gidip gelip odunlari gordukce insan nasi yani ben simdi oduna mi verdim bu kadar parayi demeye baslar, arada sinir bozuklugundan karsilikli gulme tutar... sonra yok yaa denir turkiye'de tutmaz bunlar, insanlar oduna bu kadar para vermez, hem turk insani bildigimiz turk insaniysa aynen alir bunlarin kopyasini yapar daha bile ucuza satar...",Ekşi Sözlük
prencesa,09.05.2005 23:05,IKEA Genel,"hayati fazlasiyla siradanlastiran maaza... ikeanin fiyatlari sozde daha ucuz diye tercih edildii ulkelerde dunyanin en bayici seyi kimin evine giderseniz gidin butun evlerin birbirine benzemesi, gorduunuz bir mobilya parcasinin aynisini yuzde 98 baska bi yerde gormus olmanizdir... zira bu kadar cok maruz kalmak ayni goruntulere bi sure sonra bunyelere alerji yapar, ikeamsi bisi gorunce ""ayghhh... ikeaa...ikea evi"" tepkisi vermenize yolacar...",Ekşi Sözlük
